refer to,"v. 查阅；提到
 参考；涉及；谈到"
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
superficially,adv. 表面地；浅薄地
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
reasonable,adj. 合理的，公道的；通情达理的
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
apparent,adj. 显然的；表面上的
tendency,n. 倾向，趋势；癖好
phenomenon,n. 现象；奇迹；杰出的人才
well-known,adj. 著名的；众所周知的；清楚明白的
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
various,adj. 各种各样的；多方面的
attitude,n. 态度；看法；意见；姿势
key point,"un. 要点；关键；开键；要地
 关键点；重点；重点法"
take the first step, 迈出第一步；开一个头；先采取行动
be equipped with,"na. 安置着；身上穿着
 装备有；装有；配备"
bravery,n. 勇敢；勇气
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
on the whole,"na. 整体上说
 总的来说；大体上；基本上"
in a right manner,找不到解释
vividly,adv. 生动地；强烈地
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
fencing,"n. 剑术；围墙；筑栅栏的材料
v. 击剑；围住；避开（fence的ing形式）"
tenacity,n. 韧性；固执；不屈不挠；黏性
quickness,n. 急速，迅速；尖锐化
coincidence,n. 巧合；一致；同时发生
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
forfeit,"n. 罚金；没收物；丧失的东西
vt. （因犯罪、失职、违约等）丧失（权利、名誉、生命等）
adj. 因受罚而丧失的；被没收的"
play a role, 扮演角色；起作用；发挥作用
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
in addition to,"na. 加之
 除…之外；除了；除…外"
element,n. 元素；要素；原理；成分；自然环境
stem from,"v. 出于；基于
 起源于；来自；源自"
mindset,n. 心态；倾向；习惯；精神状态
enterprise,n. 企业；事业；进取心；事业心
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
perseverance,"n. 坚持不懈；不屈不挠
n. 耐性；毅力"
utilize,vt. 利用
endowment,n. 捐赠；捐助；捐款；天资
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
 占便宜；充分利用；对……加以利用"
depend on,"v. 依靠
 依赖；取决于；视……而定"
combination,n. 结合；组合；联合； 化合
capitalize,"vi. 利用；积累资本
vt. 使资本化；以大写字母写；估计…的价值"
vividly,adv. 生动地；强烈地
depict,vt. 描述；描画
staff card,找不到解释
colleague,n. 同事，同僚
teamwork,n. 团队合作；协力
achieve success,"un. 取得成功
 获得成功；取得功效；奏功"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
convey,vt. 传达；运输；让与
thought-provoking,adj. 发人深省的；引起思考的
competition,n. 竞争；比赛，竞赛
hence,adv. 因此；今后
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
put great emphasis on,找不到解释
acknowledge,vt. 承认；答谢；报偿；告知已收到
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
qualification,n. 资格；条件；限制；赋予资格
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
accordingly,adv. 因此，于是；相应地；照著
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
enhance,vt. 提高；加强；增加
harmonious,adj. 和谐的，和睦的；协调的；悦耳的
enhance environmental awareness,找不到解释
environmental protection, 环境保护；环保；环保性
keep ecological balance,找不到解释
ecosystem,n. 生态系统
nature reserve,"n. 自然保护区
 自然护理区；自然保留区；自然保留地"
sustainable development strategy,找不到解释
wind and sand breaks,找不到解释
pleasant living environment,找不到解释
save energy, 节约能源；节省能源；节能
reduce the emission of greenhouse gases,找不到解释
slow down the rate of resource degradation,找不到解释
environment-friendly products,找不到解释
global warming,"n. 全球（气候）变暖；地球大气层变暖
 全球变暖；全球暖化；警惕全球变暖"
low carbon economy, 低碳经济；低碳经济体；经济社会
clean renewable energy,找不到解释
nuclear energy,"n. 核能；原子能
 核能发电；核能源；核能量的使用"
solar energy,"na. 太阳能
 大阳能；太阳能电池；太阳能发电"
high-power electrical appliance,找不到解释
carbon dioxide,"n. 二氧化碳
 一氧化碳；二氧货碳；碳酐"
climate change,"n. 气候变化
 气候变迁；气候改变；气候变暖"
environmental deterioration,"un. 环境恶化；环境诱发劣化
 环境损伤；环境衰败；环境损失"
deforestation,n. 采伐森林；森林开伐
protect forests from overexploitation,找不到解释
water and soil erosion, 水土流失
desertification,n. （土壤）荒漠化；沙漠化（等于desertization）
population growth,"un. 人口增长；种群增长
 人口成长；族群成长；族群增长"
wildlife protection,"《英汉医学词典》wildlife protection
野生生物保护区"
endangered species,"na. 濒危物种
 濒临灭绝的物种；濒危种；濒危动物"
wild species,野生种
commercial fishing,"un. 商业性捕鱼
 商业捕鱼；商业捕捞；捕鱼工业"
overfishing,"n. 渔捞过度
vt. 过度捕捞（overfish的现在分词）"
reckless exploitation,找不到解释
natural disasters,"n. 灾难
 自然灾害；天灾；天然灾害"
catastrophe,n. 大灾难；大祸；惨败
destructive and disastrous earthquake,找不到解释
sandstorm,n.  沙暴；大风沙
drought,n. 干旱；缺乏
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
snowstorm,n. 暴风雪；雪暴
"""the-polluters-pay"" policy",找不到解释
law enforcement inspection,找不到解释
undertake treatment within a prescribed limit of time,找不到解释
white pollution, 白色污染；噪音污染；净化
limit the use of disposable plastic bags,找不到解释
ban the use of disposable plastic bags,找不到解释
prohibit the use of disposable plastic bags,找不到解释
throwaway biodegradable plastic bags,找不到解释
disposable chopsticks, 一次性筷子；免洗筷；日本竹筷
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
garbage classification,找不到解释
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
garbage,n. 垃圾；废物
decontamination of urban refuse,找不到解释
refuse landfill,找不到解释
three types of wastes,找不到解释
industrial waste,"un. 工业废弃物；工业废水；工业废料
 工业废物；工业垃圾；事业废弃物"
toxic waste,"na. 毒性废料
 有毒废物；有毒废弃物；有毒垃圾"
multipurpose use,综合利用
water resource conservation zone,找不到解释
sewage treatment,"un. 污水处理
 污水治理；废水处理；污水处理仿真设备"
centralized treatment plant,找不到解释
recycled water,"un. 再循环水
 再生水；循环使用的水；中水"
air pollution concentration,大气污染浓度
motor vehicle exhaust,找不到解释
exhaust purifier,排气净化器
lead-free gasoline,un. 无铅汽油
gas-fueled vehicles,找不到解释
electric vehicles, 电动车；电动汽车；电动车辆
small-engine vehicles,找不到解释
industrial dust discharge,找不到解释
soot emission,找不到解释
fossil fuels,"n. “fossil fuel”的复数
 化石燃料；矿物燃料；化石能源"
bachelor's degree, 学士学位；本科学位；本科学历
master's degree, 硕士学位；硕士学位课程；研究生专业
doctor's degree, 博士学位；博士研究生；博士班
acquire degree,找不到解释
arts,n. 文科
science,n. 科学；技术；学科；理科
Master of Arts,"na. 文科硕士
 文学硕士；艺术硕士；文学硕士学位"
M.A.,"文学硕士, 文科硕士"
Master of Science,"na. 理科硕士
 理学硕士；科学硕士；理硕士"
M.S.,找不到解释
Master of Business Administration, 工商管理硕士；工商管理学硕士；企业管理硕士
MBA,找不到解释
Master of Public Administration,找不到解释
MPA,abbr. maritime patrol aircraft 海上巡逻飞机; multiple product (television) announcement 多个产品的电视发布
Master of Engineering,找不到解释
ME,找不到解释
Master of Professional Accounting,找不到解释
MPAcc,找不到解释
Master of Science in Finance,找不到解释
MSF, 大容量存储装置; 海量存储装置
nursery,n. 苗圃；托儿所；温床
kindergarten,n. 幼儿园；幼稚园
primary school,"n. 小学
 本村小学；小学教育；小学组"
elementary school,"n. （美国）小学
 国小；国民小学；小学校"
middle school,"n. 初中；（英国为 9 到 13 岁儿童所设的）中间学校
 中学；初级中学；第一中学"
university,n. 大学；综合性大学；大学校舍
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
higher education,"n. （尤指达到学位水平的）高等教育
 高等教育学；高等教育课程；高教"
college students, 大学生；在什么都没听清的情况下；大专学生
university students, 大学生；大学学生；高校学生
college graduates, 大学毕业生；大学生；高校毕业生
university graduates, 大学毕业生；高校毕业生；本科毕业生
business school,"n. （大学里针对毕业生的）工商学院
 商业学校；商业学院；美国大学商学院"
law school, 法学院；法律学院；法科大学院
graduate school,"n. 研究生院
 研究所；研究院；研究生学院"
professor,n. 教授；教师；公开表示信仰的人
faculty,n. 科，系；能力；全体教员
department,n. 部；部门；系；科；局
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
teaching facilities,找不到解释
dining hall,"na. 大餐厅
 食堂；饭厅；饭堂"
canteen,n. 食堂，小卖部；水壶
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
elective course,"na. 选修课程
 选修课程了；多元化选修课程；爱尚课"
optional course,"un. 选修课
 选修课程；公共选修课；公选"
tuition fees and other expenses,找不到解释
life-long education,找不到解释
education for all-round development,找不到解释
compulsory education,"na. 强迫教育
 义务教育；普及教育；任务教育"
exam-oriented education,找不到解释
adult education,"n. 成人教育
 成人教育学；承认教育；成人教诲"
theoretical knowledge,"un. 理论知识
 理论性知识；理论性的知识；理论型知识"
practical skills, 实用技能；实用技巧；实践技能
information era, 信息时代；资讯时代；消息时代
era of knowledge explosion,找不到解释
affect school achievements,找不到解释
skip classes, 逃课；翘课
academic performance, 学业上的表现；学习成绩；学业成绩
academic atmosphere, 学习氛围；学风；学业风气
broaden one's horizon, 开阔眼界；大开眼界；眼界更广阔等
stimulate one's interest,找不到解释
tap one's potential,找不到解释
reduce study load,找不到解释
separation between liberal arts and science,找不到解释
relaxing college life,找不到解释
recruitment,n. 补充；征募新兵
enrollment,n. 登记；入伍
apply for admission to ...,找不到解释
apply for admission into ...,找不到解释
College Entrance Examination,找不到解释
National Entrance Test for M.A. Candidates,找不到解释
National Entrance Test for M.S. Candidates,找不到解释
job market,"un. 工作市场
 就业市场；人才市场；劳务市场"
employer,n. 雇主，老板
employee,n. 雇员；从业员工
vocational training,"un. 专业培训
 职业训练；职业培训；职业教育"
cultural exchange,"na. 文化交流
 文化的交流；文化交流事工；中西文化交流"
cultural blending,找不到解释
cultural integration, 文化整合；文化融合；文化融和
traditional Chinese culture,找不到解释
Confucianism,n. 孔子学说；儒家思想
Buddhism,n. 佛教
Daoism,n. 道教
Taoism,n. 道家的学说；道教
Peking Opera,找不到解释
Chinese calligraphy,找不到解释
western culture,找不到解释
Enlightenment,找不到解释
humanism,"n. 人道主义
adj. 人文主义的；人道主义的"
post-modernism,n. 后现代主义；后现代派
multi-culture,多元文化
pluralistic culture,找不到解释
cultural diversity, 文化多样性；文化多元化；文化差异
preserve and cherish,找不到解释
absorb its essence and discard its dross,找不到解释
promote cultural development positively,找不到解释
splendid and glorious cultural heritage,找不到解释
splendid and glorious cultural legacy,找不到解释
splendid and glorious cultural relics,找不到解释
keep pace with times,找不到解释
cross-cultural communication,找不到解释
cultural difference, 文化差异；文化的差异；跨文化差别
cultural tradition, 文化传统；全称大概是文化的传统；文化传统底蕴内在相关
human civilization, 人类文明；人类文明史；文明历史上
spiritual civilization,"n. 精神文明
 精神文明建设；精神文明一；城市精神文明"
mainstream culture, 主流文化；文化的主流
interpretation of classics,找不到解释
popular culture, 大众文化；通俗文化；流行文化
the pervasive advertisements on TV,找不到解释
idol worship, 偶像崇拜；偶像崇拜话题；拜偶像
web addiction,找不到解释
Internet addiction, 网络成瘾；网瘾；网路成瘾
virtual life,"虚拟人生
虚拟生活"
making friends online,找不到解释
chatting on the Internet,找不到解释
online gossip,找不到解释
online shopping, 网上购物；网购；线上购物
group buying, 团购；团购模式；团购揪团
group purchase, 团购；优惠团购；团购活动
the Internet supervision,找不到解释
the Internet violence,找不到解释
irresponsible remarks,找不到解释
buy lottery tickets,找不到解释
online games, 网络游戏；线上游戏；在线游戏
digital products, 数码产品；数字产品；数码云计算平台
text message,"n. 文本信息；短信息
 简讯；发短信；文字讯息"
mobile phone subscription,找不到解释
self-dependence,n. 依靠自己，自力更生
dote,"vt. 溺爱
vi. 溺爱；昏聩"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
only child,"n. 独生子（或女）
 独生子女；独子；独生女"
fierce competition, 激烈竞争；激烈的竞争；竞争激烈
boomerang kids, 归巢族；归巢小孩；归巢族或回力棒世代
NEET,找不到解释
"Not currently engaged in Education, Employment or Training",找不到解释
reap without sowing,找不到解释
make constant efforts,找不到解释
never give up, 永不放弃；永不言弃；从不放弃
never stop making progress,找不到解释
achieve success,"un. 取得成功
 获得成功；取得功效；奏功"
innovation,n. 创新，革新；新方法
diligence,n. 勤奋，勤勉；注意的程度
striving spirit, 奋斗精神
outlook on life, 人生观；世界观，人生观，价值观；人生价值观
world outlook,"na. 世界观
 宇宙观；人生观，价值观；对世界的总的和根本的看法"
world view,"n. 世界观
 宇宙观；世界观察；看世界"
perseverance,"n. 坚持不懈；不屈不挠
n. 耐性；毅力"
patience,n. 耐性，耐心；忍耐，容忍
prudence,n. 审慎
self-confidence,n. 自信
modesty,n. 谦逊；质朴；稳重
lack of confidence,"缺乏自信
缺乏信心"
exaggerate difficulties,找不到解释
overestimate difficulties,找不到解释
underestimate one's abilities,找不到解释
teamwork,n. 团队合作；协力
team spirit,"n. 合作精神；集体精神；团队精神
 团队合作精神；具有团队精神；协作精神"
cooperate with others,找不到解释
joint efforts, 共同努力；共同的努力；协力
cooperative efforts,找不到解释
help each other, 互相帮助；互助；彼此帮助
keep optimistic,找不到解释
pessimism,n. 悲观，悲观情绪；厌世主义
be pessimistic,找不到解释
positive attitude, 积极的态度；积极态度；积极进取
benevolence,n. 仁慈；善行
physical health,"un. 身体健康
 生理健康；身体的健康；躯体健康"
mental health,"un. 心理卫生；精神卫生
 心理健康；精神健康；身心健康"
mental fitness,找不到解释
psychological health, 心理健康；心理卫生；大学心理健康
psychological fitness,"《英汉医学词典》psychological fitness
心理健全"
health concern,找不到解释
sub-health,找不到解释
public health,"na. 公共卫生
 公共健康；公共卫生学；公众健康"
public hygiene,n. 公共卫生
state of mind, 心态；心境；思想状态
physical exercises,"n. 体操
 体育锻炼；运动；体育活动"
well-balanced diet,找不到解释
junk food,"n. 垃圾食品
 垃圾食物；没有营养的食品；没有营养的垃圾食品"
go on a diet, 节食；实行节食；减肥
provide medical services,找不到解释
sacrifice health,找不到解释
short-term economic benefits,找不到解释
total tobacco ban,找不到解释
illness,n. 病；疾病
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
chronic disease,"n. 慢性病
 慢性疾病；痼疾；顽疾"
infectious disease,"n. 传染病科
 感染性疾病；传染性疾病；传染病学"
alcoholism,n. 酗酒； 酒精中毒
cancer, 巨蟹座
reform of medical system,找不到解释
generation gap,"n. 代沟；两代人之间的隔阂
 代沟的成因；叛逆；表示代沟时可以用"
bridge the gap, 缩小差距；桥梁缺口；弥合差距
mutual understanding,"un. 相互了解
 相互理解；互相理解；心照不宣"
misunderstanding,n. 误解；误会；不和
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
take care of,"na. 照看；处理；清除
 照顾；照料；爱护"
look after,"na. 照看；照顾；看管；对…负责
 照料；照管；目送"
mistreat,vt. 虐待
maltreat,vt. 虐待；滥用；粗暴对待
ill-treat,vt. 虐待
aging society,"un. 高龄化社会
 老龄化社会；老龄社会；老化社会"
population aging,"《英汉医学词典》population aging
人口老化"
old people, 老人；老年人；旧人
aged people, 高龄者生活认知适应性设计；乐龄人士
the old, 老人
the aged,"na. 老人
 老年人；指老年人；老者"
the elders, 长者会；长老；元老集团
the elderly, 老年人；老人；长者
senior citizens,"na. 年长
 老人；资深公民；老年人"
practice filial piety,找不到解释
public morality,"na. 风纪
 公共道德；公德；社会公德"
traditional virtues, 传统美德；传统美德篇概述；传统道德
duty,n. 责任； 关税；职务
responsibility,n. 责任，职责；义务
sense of responsibility, 责任感；责任心；责任意识
shoulder one's duties,找不到解释
assume one's duties,找不到解释
undertake one's duties,找不到解释
shoulder one's responsibilities,找不到解释
assume one's responsibilities,找不到解释
undertake one's responsibilities,找不到解释
avoid one's duties,找不到解释
shirk one's duties,找不到解释
shun one's duties,找不到解释
avoid one's responsibilities,找不到解释
shirk one's responsibilities,找不到解释
shun one's responsibilities,找不到解释
devote,vt. 致力于；奉献
devotion,n. 献身，奉献；忠诚；热爱
dedicate,vt. 致力；献身；题献
dedication,n. 奉献；献身；赠言
selfless devotion,找不到解释
the crisis of trust,找不到解释
the corruption of public morality,找不到解释
the lack of moral sense,找不到解释
immoral behaviors,找不到解释
Project Hope,找不到解释
China Red Cross Foundation,找不到解释
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
donation,n. 捐款，捐赠物；捐赠
poor rural areas,找不到解释
start schooling,找不到解释
drop out of school,"un. 从…退出；辍学
 退学；休学；缀学"
finish school,"na. 完成学业
 毕业；放学；毕业学校"
to respect the old and care for the young,找不到解释
spit everywhere,找不到解释
make noise, 制造噪音；发出噪音；发出声音
talk loudly, 大声说话；大声谈话；大声讲话
empty promise, 口惠；空洞的承诺；假意的允诺
false promise,找不到解释
fake commodities, 上有不少假冒伪劣商品；假冒商品；假冒伪劣产品
dishonest behavior,找不到解释
honesty,n. 诚实，正直
academic corruption,找不到解释
plagiarism,n. 剽窃；剽窃物
food safety,"n. 食品安全；食品卫生
 食物安全；食品安全性；食品质量安全"
construction quality, 施工质量；工程质量；建设质量
drainage oil,找不到解释
poisonous milk powder,找不到解释
infant formula, 婴儿配方奶粉；婴儿奶粉；婴儿配方食品
food additives,"un. 食品添加剂
 食品添加物；食物添加剂；食物添加物"
unaffordable prices of medicines,找不到解释
excessive growth,"un. 过度长大；过渡增长
 发展过快；涨幅偏高；过度增长"
illegal ads,找不到解释
unfair competition,"un. 不公平竞争
 不正当竞争；不合理竞争；不正竞争"
compete for benefits,找不到解释
address symptoms but not root causes,找不到解释
administration department, 行政部
supervision department,找不到解释
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
manufacturer,n. 制造商； 厂商
enterprise operator,找不到解释
authorities concerned,"主管部门,专门机构，专门机关"
take bribes, 贪赃；纳贿；受贿
disregard of laws,找不到解释
shift the blame onto ...,找不到解释
consumers' rights and interests,找不到解释
unqualified expert,找不到解释
perform one's tasks fairly and effectively,找不到解释
provide polite and hospitable services,找不到解释
corruption phenomenon,找不到解释
bus lane,"n. 公共汽车专用道
 公共汽车道；公交专用车道；公交专用道"
odd-and-even license plate rule,找不到解释
morning and evening peak,找不到解释
traffic jam,"n. 堵车；交通阻塞
 交通堵塞；交通拥挤；塞车"
traffic congestion,"na. 交通拥塞
 交通拥挤；交通堵塞；交通挤塞"
heavy traffic,"na. 交通拥挤
 拥挤的交通；车水马龙；交通拥挤"
rush hour,"n. (上,下班的)高峰期
 尖峰时刻；高峰时间；尖峰时间"
public transport network, 公共交通线路网
traffic restrictions based on the last digit of license plate numbers,找不到解释
traffic control,"na. 交通管制
 交通管理；交通控制；流量控制"
car-free day,找不到解释
traffic accident,"n. 交通事故；车祸
 交通意外；交通肇事；交通事故报警"
private car,"un. 私人汽车；服务车
 私家车；私人轿车；企业自备车"
develop public transport,找不到解释
drunk drive,找不到解释
drive under the influence of alcohol,找不到解释
driver,n. 驾驶员；驱动程序；起子；传动器
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
economic crisis,"na. 经济危机
 金融危机；全球经济危机；经济危急"
financial crisis,"na. 财政危机
 金融危机；财务危机；经济危机"
financial turmoil, 金融风暴；金融危机；金融动荡
financial meltdown, 金融风暴；金融危机；金融崩盘
recession,n. 衰退；不景气；后退；凹处
bleeding economy,找不到解释
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
sluggish economy,找不到解释
lose one's job, 失业；失掉职位；打破饭碗
be unemployed,失业
be redundant,找不到解释
job losses mount,找不到解释
unemployment climb,找不到解释
unemployment,n. 失业；失业率；失业人数
seek employment, 求职；应聘职位
job seeker,"n. 求职者（英国常见的官方用语）
 求职专栏；我要求职；找工作者"
a tough job market,找不到解释
confidence slump,找不到解释
economic recovery,"n. 经济复苏
 经济复原；经济采收率；经济恢复"
the crisis' fallout,找不到解释
face the crisis,找不到解释
meet the crisis,找不到解释
fight the crisis,找不到解释
confidence reconstruction,找不到解释
contain declines,找不到解释
slow down declines,找不到解释
affordable housing project,找不到解释
comfortable housing project,找不到解释
cost-cutting,"n. 削减成本
v. 削减成本（cost-cut的ing形式）"
generate new employment,找不到解释
stimulate consumer spending,找不到解释
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
recovery,n. 恢复，复原；痊愈；重获
turnaround,n. 转变；转向；突然好转；回车道
proactive fiscal policy, 积极的财政政策；采取积极财政政策
refrain from laying off employees,找不到解释
cut the salaried work force,找不到解释
structural adjustment,结构调整
stimulus package, 经济刺激方案；经济刺激一揽子计划；刺激计划
stimulus plan,找不到解释
career guidance, 就业指导；生涯辅导；就业辅导
propel domestic demand,找不到解释
drive domestic demand,找不到解释
expand domestic demand,找不到解释
infrastructure construction, 基础设施；基础设施建设；基础建设
tax relief,"n. 税款减免
 税收减免；税收减除；税务优惠"
practice economy,"na. 节约
 厉行节约；例行节约；节约”"
moderately loose monetary policy,找不到解释
government bailout, 政府救援；政府打救；政府救助
government's vow to do sth.,找不到解释
the market economy system,找不到解释
economic globalization, 经济全球化；全球经济一体化；经贸全球化
international economic organization,找不到解释
advancements in science and technology,找不到解释
multinational,"adj. 跨国公司的；多国的
n. 跨国公司"
private enterprise,"n. 私营企业；民营企业
 私人企业；私有企业；民企"
automobile industry,"un. 汽车工业
 汽车产业；汽车业；汽车行业"
real estate industry, 房地产业；地产行业；房地产产业
telecommunication industry, 电信业；电信产业；通信产业
domestic brand,本国商标
national brand,"un. 全国性品牌
 国家品牌；全国品牌；国家名牌"
Chinese brand,找不到解释
market share,"n. 市场份额；市场占有率
 市占率；市场占用率；市场分额"
market portion,找不到解释
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
enterprise,n. 企业；事业；进取心；事业心
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
job satisfaction,"n. 工作满足感
 工作满意度；工作的满意感；工作满意感"
work pressure, 工作压力；工作气压；操作压力
working pressure,工作压力;使用压力
improve welfare and treatment,找不到解释
attract foreign investment, 对外招商；吸引外资；吸引外商投资
legal protection,"un. 合法保护
 法律保护；法律保障；保护少数民族的政策"
profound social and economic impact,找不到解释
the reform and opening-up,找不到解释
social security system,"un. 社会安全制度
 社会保障制度；社会保障体系；社会保险制度"
unemployment,n. 失业；失业率；失业人数
housing problem, 住房问题；房屋问题；住宅问题
public infrastructure, 公共基础设施；公共建设；公共基础建设
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
sustainable urban development,找不到解释
urbanization,n. 都市化；文雅化
