cause,"n. 原因；事业；目标
vt. 引起；使遭受"
mingle with,"na. 和…混合
 和...混合；混和；的混合"
be susceptible to,"na. 对…敏感
 易受影响的；容易受到；易患"
take sth. into consideration,"v. 顾及
 考虑到；把……考虑进去；予以考虑"
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
category,n. 种类，分类； 范畴
percentage,n. 百分比；百分率，百分数
respectively,adv. 分别地；各自地，独自地
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
phenomenon,n. 现象；奇迹；杰出的人才
summarize,"vt. 总结；概述
vi. 作总结；作概括"
prosperity,n. 繁荣，成功
interpersonal,adj. 人际的；人与人之间的
mounting,"n. 装备，装配；上马；衬托纸
v. 增加（mount的ing形式）；爬上
adj. 逐渐增加的"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
significance,n. 意义；重要性；意思
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
on the contrary,"na. 反之
 正相反；相反地；相反的"
take up,"na. 拿起；举起；拾起；给搭(火车等)
 占据；从事；开始"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
as follows,"na. 如下；以下
 如下所述；如下所示；如次"
pay attention to,"na. 注意
 重视；对……注意；关心"
in a bid to, 为了；试图；力求
prefer ... to ...,找不到解释
attach significance to,找不到解释
rather than,"na. 而不
 而不是；宁愿；与其"
accordance,n. 一致；和谐
statistic,"n. 统计数值
adj. 统计的，统计学的"
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
percentage,n. 百分比；百分率，百分数
whereabouts,"n. 下落；行踪；去向；所在之处
adv. 在何处；靠近什么地方"
undergo,vt. 经历，经受；忍受
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
sharply,adv. 急剧地；锐利地
whereas,conj. 然而；鉴于；反之
markedly,adv. 明显地；显著地；引人注目地
respectively,adv. 分别地；各自地，独自地
perspective,"n. 观点；远景；透视图
adj. 透视的"
tendency,n. 倾向，趋势；癖好
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
contributor,n. 贡献者；投稿者；捐助者
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
grim,adj. 冷酷的；糟糕的；残忍的
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
rewarding,adj. 有益的，值得的；有报酬的，报答的
manageable,adj. 易管理的；易控制的；易办的
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
exploratory,adj. 勘探的；探究的；考察的
entrepreneurial,adj. 企业家的，创业者的；中间商的
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
handsome,adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
paycheck,n. 付薪水的支票，薪水
conclusion,n. 结论；结局；推论
financial,adj. 金融的；财政的，财务的
status,n. 地位；状态；情形；重要身份
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
preference,n. 偏爱，倾向；优先权
consideration,n. 考虑；原因；关心；报酬
optimal,adj. 最佳的；最理想的
in accordance with,"na. 照；与…一致
 按照；根据；依照"
run one's own business,找不到解释
from one's perspective,找不到解释
be traced back to,找不到解释
first and foremost,"na. 首先
 首要地；首要的是；第一位的和首要的"
in addition,"na. 加之
 另外；此外；又"
further education,"n. 继续教育
 延续教育；进修；深造"
last but not least,"na. 最后但不是最不重要的一点
 最后但并非最不重要的；最后但同样重要的；最后但并不是最不重要的"
not to mention,"na. …不用说
 更不用说；更不必说；更别提"
generally speaking,"na. 一般地说；一般地说来
 一般说来；一般来说；一般而言"
reach one's own conclusion,找不到解释
take sth. into consideration,"v. 顾及
 考虑到；把……考虑进去；予以考虑"
diagram,"n. 图表；图解
vt. 用图解法表示"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
recruitment,n. 补充；征募新兵
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
expansion,n. 膨胀；阐述；扩张物
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
forthcoming,"n. 来临
adj. 即将来临的"
tendency,n. 倾向，趋势；癖好
ensure,vt. 保证，确保；使安全
theoretical,adj. 理论的；理论上的；假设的；推理的
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
 依照；根据…所说；依据"
be on a steady rise,找不到解释
no more than,"na. 不过是；仅仅
 至多；只是；只不过"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
as follows,"na. 如下；以下
 如下所述；如下所示；如次"
first and foremost,"na. 首先
 首要地；首要的是；第一位的和首要的"
on the whole,"na. 整体上说
 总的来说；大体上；基本上"
keep pace with,"na. 赶上；保持同步；随着…而增长
 跟…齐步前进；跟上；跟上…的最新发展"
last but not least,"na. 最后但不是最不重要的一点
 最后但并非最不重要的；最后但同样重要的；最后但并不是最不重要的"
take sth. into account,"na. 考虑
 把…考虑进去；考虑到；顾及"
on the other side of the coin,找不到解释
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
theoretical knowledge,"un. 理论知识
 理论性知识；理论性的知识；理论型知识"
practical skills, 实用技能；实用技巧；实践技能
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
respectively,adv. 分别地；各自地，独自地
tendency,n. 倾向，趋势；癖好
disturbing,"v. 干扰；打断（disturb的ing形式）
adj. 令人不安的；烦扰的"
extensively,adv. 广阔地；广大地
companionship,n. 友谊；陪伴；交谊
faithful,adj. 忠实的，忠诚的；如实的；准确可靠的
contentment,n. 满足；满意
lessen,"vt. 使…变小；使…减轻；使…变少
vi. 减少；减轻；变小"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
broaden,"vt. 使扩大；使变宽
vi. 扩大，变阔；变宽，加宽"
advent,n. 到来；出现；基督降临；基督降临节
based upon, 基于；第二段第三行
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
on the contrary,"na. 反之
 正相反；相反地；相反的"
take up,"na. 拿起；举起；拾起；给搭(火车等)
 占据；从事；开始"
no less ... than,找不到解释
first and foremost,"na. 首先
 首要地；首要的是；第一位的和首要的"
a wide range of,"un. 许多
 广泛的；范围广泛的；很大的范围"
last but not least,"na. 最后但不是最不重要的一点
 最后但并非最不重要的；最后但同样重要的；最后但并不是最不重要的"
broaden one's minds,找不到解释
with the advent of, 随着…的出现；随着某物的出现；随着…的到来
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
gymnasium,n. 体育馆；健身房
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
graph,"n. 图表；曲线图
vt. 用曲线图表示"
gym,n. 健身房；体育；体育馆
gymnasium,n. 体育馆；健身房
considerably,adv. 相当地；非常地
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
tendency,n. 倾向，趋势；癖好
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
urban,adj. 城市的；住在都市的
mounting,"n. 装备，装配；上马；衬托纸
v. 增加（mount的ing形式）；爬上
adj. 逐渐增加的"
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
accordingly,adv. 因此，于是；相应地；照著
variously,adv. 不同地；多方面地；个别地；多彩地
jogging,"n. 慢跑
v. 慢跑（jog的ing形式）；轻推；唤起"
energetic,adj. 精力充沛的；积极的；有力的
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
vigorous,adj. 有力的；精力充沛的
optimistic,adj. 乐观的；乐观主义的
confident,adj. 自信的；确信的
persistent,adj. 固执的，坚持的；持久稳固的
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
on a steady rise,找不到解释
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
concerned departments,找不到解释
have a peculiar interest in ...,找不到解释
stay up late,"un. 整晚不睡；守着；迟睡
 熬夜；熬夜到很晚；熬夜到很迟"
keep a balanced diet,找不到解释
burning midnight oil,找不到解释
be harmful to ...,找不到解释
currently,adv. 当前；一般地
widespread,adj. 普遍的，广泛的；分布广的
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
regarding,prep. 关于，至于
previously,adv. 以前；预先；仓促地
neglected,"adj. 被忽视的；未被好好照管的
v. 忽视；疏忽（neglect的过去分词）"
connection,n. 连接；关系；人脉；连接件
portray,vt. 描绘；扮演
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
extinction,n. 灭绝；消失；消灭；废止
wildlife,"n. 野生动植物
adj. 野生动植物的"
correlation,n.  相关，关联；相互关系
exert,vt. 运用，发挥；施以影响
tremendously,adv. 非常地；可怕地；惊人地
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
aforementioned,adj. 上述的；前面提及的
booming,"adj. 兴旺的，繁荣的；大受欢迎的
v. 兴旺（boom的ing形式）；发出隆隆声"
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
grassland,n. 草原；牧草地
industrialization,n. 工业化
urbanization,n. 都市化；文雅化
generate,vt. 使形成；发生；生殖；产生物理反应
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
essentially,adv. 本质上；本来
ecosystem,n. 生态系统
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
unpromising,adj. 无前途的，没有希望的
eliminate,vt. 消除；排除
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
enforce,vt. 实施，执行；强迫，强制
unspoiled,adj. 未损坏的；未宠坏的
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
ensure,vt. 保证，确保；使安全
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
accompanied by ...,找不到解释
exert a tremendously ... influence on ...,找不到解释
natural resources,"na. 自然资源；天然资源
 自然资源科学学院；自然资源与其保护类；自然资源学院"
be responsible for ...,找不到解释
to satisfy the ... demands of ...,找不到解释
in addition,"na. 加之
 另外；此外；又"
be applied to ...,找不到解释
apparent,adj. 显然的；表面上的
graph,"n. 图表；曲线图
vt. 用曲线图表示"
whereas,conj. 然而；鉴于；反之
mysterious,adj. 神秘的；不可思议的；难解的
indicate,vt. 表明；指出；预示；象征
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
globalization,n. 全球化
irresistible,adj. 不可抵抗的；不能压制的；极为诱人的
mutual,adj. 共同的；相互的，彼此的
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
controversial,adj. 有争议的；有争论的
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
confront,vt. 面对；遭遇；比较
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
multidimensional,adj.  多维的；多面的
vigorous,adj. 有力的；精力充沛的
line graph,"un. 线图
 曲线图；折线图；线形图"
on a steady rise,找不到解释
to some extent,"na. 在某种程度上
 在一定程度上；从某种程度上讲；从某种程度来讲"
the trend of,找不到解释
at first sight,"na. 乍看；一见就；乍看起来
 乍一看；初看起来；真情难舍"
in the long run,"na. 归根到底；“in the long run/term”的变体
 从长远来看；最后；从长远观点看"
be confronted with,"na. 碰到(困难)
 面临；面对；面临着"
to absorb its virtues and to resist its dark side,找不到解释
commerce,n. 贸易；商业；商务
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
phenomenon,n. 现象；奇迹；杰出的人才
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
convince,vt. 说服；使确信，使信服
formality,n. 礼节；拘谨；仪式；正式手续
teleworker,n. 远程工作人员（通过电脑终端、电传等与办公室联系的在家工作者）
inevitable,adj. 必然的，不可避免的
irretrievable,adj. 不能弥补的；不能复原的；无法挽救的
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
have access to,"na. 得接近；得会见；得进入
 使用；有权使用；可以接近"
give birth to, 生（孩子），生育; 引起，产生; 娩出; 娩
get prepared to,找不到解释
apparent,adj. 显然的；表面上的
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
mutual,adj. 共同的；相互的，彼此的
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
crucial,adj. 重要的；决定性的；定局的；决断的
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
at a growth rate of,找不到解释
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
first and foremost,"na. 首先
 首要地；首要的是；第一位的和首要的"
reform and opening-up,找不到解释
scope of knowledge,找不到解释
at the same time,"na. 同时；另一方面；与此同时
 然而；在同时；可是"
make good use of, 充分利用；好好利用；合理利用
awareness,"n. 意识，认识；明白，知道
n. 人群对品牌或产品的认知"
dependability,n. 可靠性；可信任
responsibility,n. 责任，职责；义务
punctuality,n. 严守时间；正确；规矩
cultivate,vt. 培养；陶冶；耕作
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
accomplishment,n. 成就；完成；技艺，技能
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
participate in,"v. 参加；分享
 参与；参加某事；参加例句"
interact with sb.,找不到解释
in addition,"na. 加之
 另外；此外；又"
last but not least,"na. 最后但不是最不重要的一点
 最后但并非最不重要的；最后但同样重要的；最后但并不是最不重要的"
case in point, 例证；很好的例子；例证，证明
generally speaking,"na. 一般地说；一般地说来
 一般说来；一般来说；一般而言"
fit in with sb.,找不到解释
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
ownership,n. 所有权；物主身份
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
mobility,n. 移动性；机动性； 迁移率
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
immediate,adj. 立即的；直接的；最接近的
maintain,vt. 维持；继续；维修；主张；供养
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
poisonous,adj. 有毒的；恶毒的；讨厌的
congestion,n. 拥挤；拥塞；淤血
frustration,n. 挫折
eliminate,vt. 消除；排除
a rise of,找不到解释
in the meantime,"na. 在这期间
 与此同时；在此期间；其间"
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
to the full,"na. 充分地
 完全地；尽量；彻底地"
give off,"na. 发散(水蒸气等)
 发出；放出；释放"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
cancel out,"v. 相约；相消；抵消
 取消；抵偿；抵销"
traffic jam,"n. 堵车；交通阻塞
 交通堵塞；交通拥挤；塞车"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
ownership,n. 所有权；物主身份
percentage,n. 百分比；百分率，百分数
considerably,adv. 相当地；非常地
approximately,adv. 大约，近似地；近于
corresponding,"adj. 相当的，相应的；一致的；通信的
v. 类似（correspond的ing形式）；相配"
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
installment,n. 安装；分期付款；部分；就职
subsidy,n. 补贴；津贴；补助金
forthcoming,"n. 来临
adj. 即将来临的"
attainable,adj. 可得到的；可达到的；可到达的
authority,n. 权威；权力；当局
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
result in,"na. 终于(失败)
 导致；结果是；造成"
economic condition, 经济景况；经济条件；经济状况
put in force,"na. 施行；实施
 实行；执行"
a series of,"na. 一系列；许多
 一连串；一连串的；一系列的"
real estate investment, 房地产投资；不动产投资；房地产投资与金融
be able to,"v. 能够
 会；有能力做某事；强调有能力"
column,n. 纵队，列；专栏；圆柱，柱形物
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
deserve,"vi. 应受，应得
vt. 应受，应得"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
violent,adj. 暴力的；猛烈的
induce,vt. 诱导；引起；引诱；感应
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
irritable,adj. 过敏的；急躁的；易怒的
malnutrition,n. 营养失调，营养不良
a rise of,找不到解释
first and foremost,"na. 首先
 首要地；首要的是；第一位的和首要的"
the majority of,"adj. 大多数
 大部分；大多数的；的大多数"
turn of mind, 性情；思维的变式；性格
what is more,"na. 加之
 而且；更重要的是；更有甚者"
indulge in,"v. 沉迷于
 沉溺于；沉湎于；尽情享受"
do harm to,"v. 损害
 对…有害；伤害；对……造成伤害"
be lack of,找不到解释
be inclined to,"v. 倾向于；想要
 有意；有某种倾向；倾向做某事"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
habitually,adv. 习惯地；日常地
sharply,adv. 急剧地；锐利地
summarize,"vt. 总结；概述
vi. 作总结；作概括"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
pupil,n. 学生； 瞳孔；未成年人
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
available,adj. 可获得的；可购得的；可找到的；有空的
consequence,n. 结果；重要性；推论
thirst,"n. 渴望；口渴；热望
vi. 渴望；口渴"
quench,"vt. 熄灭， 淬火；解渴；结束；冷浸
vi. 熄灭；平息"
treaty,n. 条约，协议；谈判
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
crucial,adj. 重要的；决定性的；定局的；决断的
as well as,"na. 和…一样；…不用说
 也；既…又；和...一样"
a jump of,找不到解释
as follows,"na. 如下；以下
 如下所述；如下所示；如次"
as a consequence,"adv. 因此
 结果；后果；因而"
at the same time,"na. 同时；另一方面；与此同时
 然而；在同时；可是"
increasingly,adv. 越来越多地；渐增地
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
entrepreneur,n. 企业家；承包人；主办者
category,n. 种类，分类； 范畴
cautious,adj. 谨慎的；十分小心的
entrepreneurial,adj. 企业家的，创业者的；中间商的
insight,n. 洞察力；洞悉
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
handy,adj. 便利的；手边的，就近的；容易取得的；敏捷的
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
crucial,adj. 重要的；决定性的；定局的；决断的
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
priority,n. 优先；优先权； 优先次序；优先考虑的事
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
exploratory,adj. 勘探的；探究的；考察的
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
paycheck,n. 付薪水的支票，薪水
pie chart,"n. 饼形图；饼分图
 饼图；饼状图；圆形图"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
as long as,"conj. 只要
 长达；如果；既然"
above all,"na. 最主要的；最重要的是
 首先；尤其是；特别是"
as a result of,"na. (作)为…的结果
 由于；由于…的结果；作为…的结果"
in addition,"na. 加之
 另外；此外；又"
regardless of,"prep. 不管；不顾；不理会
 不论；无论；不注意"
come in handy,"na. 迟早有用
 派得上用场；派上用场；有用得着的时候"
not to mention,"na. …不用说
 更不用说；更不必说；更别提"
column,n. 纵队，列；专栏；圆柱，柱形物
clearly,adv. 清晰地；明显地；无疑地；明净地
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
earnings,n. 收入
bureau,n. 局，处；衣柜；办公桌
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
doctoral,"n. 博士论文
adj. 博士的；博士学位的；有博士学位的"
pre-requisite,"n. 首要事，必要事
adj. 首要的，必须的"
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
imply,vt. 意味；暗示；隐含
progression,n. 前进；连续
whereby,adv. 凭借；通过…；借以；与…一致
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
responsible,adj. 负责的，可靠的；有责任的
commensurate,adj. 相称的；同量的；同样大小的
highly,adv. 高度地；非常；非常赞许地
hardly,adv. 几乎不，简直不；刚刚
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
analysis,n. 分析；分解；验定
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
competitive,adj. 竞争的；比赛的；求胜心切的
workplace,n. 工作场所；车间
mounting,"n. 装备，装配；上马；衬托纸
v. 增加（mount的ing形式）；爬上
adj. 逐渐增加的"
range from ... to ...,找不到解释
as follows,"na. 如下；以下
 如下所述；如下所示；如次"
in the first place,"na. 首先；第一
 起初；原先；第一点"
in the second place,"na. 第二(点)；其次
 把……放在第二位；说到第二点；首先"
it can be said that ...,找不到解释
at least,"na. 至少
 最低限度；起码；最少"
continue on, 继续；接着而来；续继往…走
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
perspective,"n. 观点；远景；透视图
adj. 透视的"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
respectively,adv. 分别地；各自地，独自地
grim,adj. 冷酷的；糟糕的；残忍的
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
foothold,n. 据点；立足处
adequate,adj. 充足的；适当的；胜任的
meanwhile,"adv. 同时，其间
n. 其间，其时"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
expectation,n. 期待；预期；指望
realistic,adj. 现实的；现实主义的；逼真的；实在论的
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
enrollment,n. 登记；入伍
crucial,adj. 重要的；决定性的；定局的；决断的
from the perspective of ...,找不到解释
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
to begin with,"na. 首先；本来
 第一；一开始；起初"
find no foothold for,找不到解释
the majority of,"adj. 大多数
 大部分；大多数的；的大多数"
a large number of ...,找不到解释
aim at ...,找不到解释
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
practical,adj. 实际的；实用性的
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
proposal,n. 提议，建议；求婚
to begin with,"na. 首先；本来
 第一；一开始；起初"
apply for,"v. 寻求；申请
 提出申请；申请…职位；请求"
in addition,"na. 加之
 另外；此外；又"
a good many,"na. 很多的
 许多；相当多；大量的"
primary school,"n. 小学
 本村小学；小学教育；小学组"
in need of,"adj. 需要
 急需；缺少；有…的需要"
food for thought,"n. 令人深思的事物；发人深省的事物
 精神食粮；发人深思的东西；引人深思的事"
portrayal,n. 描绘；画像，肖像
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
appealing,"v. 恳求（appeal的ing形式）；将…上诉
adj. 吸引人的；动人的；引起兴趣的；恳求似的"
intention,n. 意图；目的；意向；愈合
endow,vt. 赋予；捐赠；天生具有
instill,vt. 徐徐滴入；逐渐灌输
enthusiastic,adj. 热情的；热心的；狂热的
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
lilt,"n. 轻快的动作；轻快活泼的调子
vt. 轻快地动；唱轻快的调子；用欢快节奏唱
vi. 轻快地动；唱轻快的调子；用欢快节奏唱"
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
celebrity,n. 名人；名声
attach attention to,找不到解释
be born with, 天生具有；生而具有；生就
no matter how,"na. 不管怎样
 无论怎样；无论怎么样；不管如何"
regardless of,"prep. 不管；不顾；不理会
 不论；无论；不注意"
in short,"na. 简单地说；总之
 简言之；简而言之；总而言之"
interpreter,n. 解释者；口译者；注释器
