twentieth,"n. 二十分之一
num. 第二十
adj. 第二十的；二十分之一的"
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
dear,"n. 亲爱的人
adj. 亲爱的；尊敬的；昂贵的
adv. 高价地；疼爱地
int. 哎呀"
student,n. 学生；学者
thing,n. 事情；东西；事物；情况
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
busy,"adj. 忙碌的；热闹的；正被占用的
vt. 使忙于"
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
Have a good time!,找不到解释
there,"n. 那个地方
adv. 在那里；在那边；在那点上
int. 你瞧"
favorite,"n. 幸运儿；喜欢的事物；特别喜欢的人
adj. 最喜爱的；中意的；宠爱的"
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
science,n. 科学；技术；学科；理科
P.E.,找不到解释
physical education,"n. 体育教学
 体育教育；体育课；物理教育"
music,n. 音乐，乐曲
math,n. 数学（等于mathematics）
maths,n. 数学（等于mathematics）
Chinese,"n. 中文，汉语；中国人
adj. 中国的，中国人的；中国话的"
geography,n. 地理；地形
history,n. 历史，历史学；历史记录；来历
why,"int. 哎呀！什么？
adv. 为什么"
because,conj. 因为
Monday,n. 星期一
Friday,n. 星期五
Saturday,n. 星期六
for sure,"adv. 确实
 肯定地；确切地；毫无疑问"
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
Tuesday,n. 星期二
Wednesday,n. 星期三
Thursday,n. 星期四
Sunday,n. 星期日；礼拜日
A.M.,找不到解释
a.m.,abbr. 上午，午前（ante meridiem）
P.M.,abbr. 下午（post meridiem）
p.m.,找不到解释
useful,adj. 有用的，有益的；有帮助的
from,prep. 来自，从；由于；今后
from ... to ..., 从到；从什么到什么；起止时间
Mrs.,找不到解释
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
lesson,"n. 教训；课
vt. 教训；上课"
hour,n. 小时；钟头；课时；…点钟
