solve,"vt. 解决；解答；溶解
vi. 作解答"
junk,n. 垃圾，废物；舢板
freelance,"n. 自由作家；自由记者
adj. 自由投稿的"
kidnap,vt. 绑架；诱拐；拐骗
financial,adj. 金融的；财政的，财务的
decent,adj. 正派的；得体的；相当好的
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
horn,"n. 喇叭，号角；角
vt. 装角于"
infer,"vi. 推断；作出推论
vt. 推断；推论"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
deduct,vt. 扣除，减去；演绎
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
yearly,"n. 年刊；年鉴
adj. 每年的
adv. 每年；一年一次"
crucial,adj. 重要的；决定性的；定局的；决断的
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
imply,vt. 意味；暗示；隐含
recognition,n. 识别；承认，认出；重视；赞誉；公认
dense,adj. 稠密的；浓厚的；愚钝的
terrific,adj. 极好的；极其的，非常的；可怕的
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
vegetarian,"n. 素食者；食草动物
adj. 素食的"
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
innovation,n. 创新，革新；新方法
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
route,"n. 路线；航线；通道
vt. 按某路线发送"
avoid,vt. 避免；避开，躲避；消除
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
endorse,vt. 背书；认可；签署；赞同；在背面签名
prevalent,adj. 流行的；普遍的，广传的
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
ladder,"n. 阶梯；途径；梯状物
vi. 成名；发迹
vt. 在……上装设梯子"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
enrol,"vi. 注册；参军
vt. 登记；卷起；入学；使入会"
whatsoever,pron. 无论什么
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
lapse,n. (一时的) 走神，判断错误
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
coward,"n. 懦夫，懦弱的人
adj. 胆小的，懦怯的"
anticipate,vt. 预期，期望；占先，抢先；提前使用
core,
authority,n. 权威；权力；当局
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
temperament,n. 气质，性情，性格；急躁
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
logical,adj. 合逻辑的，合理的；逻辑学的
humanity,n. 人类；人道；仁慈；人文学科
paralyze,vt. 使麻痹；使瘫痪
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
epoch,n.  世；新纪元；新时代；时间上的一点
paste,"n. 面团，膏；糊状物， 浆糊
vt. 张贴，裱糊；用浆糊粘"
additional,adj. 附加的，额外的
impatient,adj. 焦躁的；不耐心的
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
unanimous,adj. 全体一致的；意见一致的；无异议的
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
spicy,adj. 辛辣的；香的，多香料的；下流的
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
gene,n.  基因，遗传因子
undergo,vt. 经历，经受；忍受
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
conclusion,n. 结论；结局；推论
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
relief,n. 救济；减轻，解除；安慰；浮雕
forthcoming,"n. 来临
adj. 即将来临的"
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
scrutiny,n. 详细审查；监视；细看；选票复查
cooperative,"n. 合作社
adj. 合作的；合作社的"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
abolish,vt. 废除，废止；取消，革除
dirt,n. 污垢，泥土；灰尘，尘土；下流话
erosion,n. 侵蚀，腐蚀
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
efficient,adj. 有效率的；有能力的；生效的
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
solution,n. 解决方案；溶液；溶解；解答
foundation,n. 基础；地基；基金会；根据；创立
speculate,"vi. 推测；投机；思索
vt. 推断"
fraud,n. 欺骗；骗子；诡计
compel,vt. 强迫，迫使；强使发生
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
involve,vt. 包含；牵涉；使陷于；潜心于
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
uphold,vt. 支撑；鼓励；赞成；举起
diplomatic,adj. 外交的；外交上的；老练的
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
compassion,n. 同情；怜悯
usage,n. 使用；用法；惯例
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
expectation,n. 期待；预期；指望
alter,"vt. 改变，更改
vi. 改变；修改"
reap,"vt. 收获，获得；收割
vi. 收割，收获"
conspiracy,n. 阴谋；共谋；阴谋集团
definite,adj. 一定的；确切的
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
departure,n. 离开；出发；违背
utilize,vt. 利用
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
horizon,n.  地平线；视野；眼界；范围
partial,adj. 局部的；偏爱的；不公平的
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
coarse,adj. 粗糙的；粗俗的；下等的
deficit,n. 赤字；不足额
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
prominent,adj. 突出的，显著的；杰出的；卓越的
series,n. 系列，连续； 串联；级数；丛书
differentiate,"vt. 区分，区别
vi. 区分，区别"
counterpart,n. 副本；配对物；极相似的人或物
affirm,"vt. 肯定；断言
vi. 确认；断言"
consecutive,adj. 连贯的；连续不断的
overhear,"vt. 无意中听到；偷听
vi. 无意中听到；偷听到"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
extensive,adj. 广泛的；大量的；广阔的
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
philosophy,n. 哲学；哲理；人生观
oppose,"vt. 反对；对抗，抗争
vi. 反对"
dine,"vi. 进餐，用餐
vt. 宴请"
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
complicate,vt. 使复杂化；使恶化；使卷入
require,vt. 需要；要求；命令
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
fraction,n. 分数；部分；小部分；稍微
enthusiasm,n. 热心，热忱，热情
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
passion,n. 激情；热情；酷爱；盛怒
morality,n. 道德；品行，美德
competent,adj. 胜任的；有能力的；能干的；足够的
ideology,n. 意识形态；思想意识；观念学
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
summarize,"vt. 总结；概述
vi. 作总结；作概括"
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
realistic,adj. 现实的；现实主义的；逼真的；实在论的
mysterious,adj. 神秘的；不可思议的；难解的
slogan,n. 标语；呐喊声
tuition,n. 学费；讲授
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
ignorant,adj. 无知的；愚昧的
retain,vt. 保持；雇；记住
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
bore,"n. 孔；令人讨厌的人
vt. 钻孔；使烦扰
vi. 钻孔"
trivial,adj. 不重要的，琐碎的；琐细的
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
classify,vt. 分类；分等
rotten,"adj. 腐烂的；堕落的；恶臭的；虚弱的；极坏的
adv. 非常"
equation,n. 方程式，等式；相等； 反应式
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
massive,adj. 大量的；巨大的，厚重的；魁伟的
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
sue,"vt. 控告；请求
vi. 控告；提出请求"
disposition,n. 处置； 性情； 部署；倾向
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
denial,n. 否认；拒绝；节制；背弃
gut,"n. 内脏；肠子；剧情；胆量；海峡；勇气；直觉；肠
vt. 取出内脏；摧毁（建筑物等）的内部
adj. 简单的；本质的，根本的；本能的，直觉的"
appearance,n. 外貌，外观；出现，露面
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
exclude,vt. 排除；排斥；拒绝接纳；逐出
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
artistic,adj. 艺术的；风雅的；有美感的
justice,n. 司法，法律制裁；正义；法官，审判员
rebellion,n. 叛乱；反抗；谋反；不服从
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
obstacle,n. 障碍，干扰；妨害物
reconcile,vt. 使一致；使和解；调停，调解；使顺从
generate,vt. 使形成；发生；生殖；产生物理反应
climax,n. 高潮；顶点；层进法；极点
clothe,vt. 给…穿衣；覆盖；赋予
deputy,"n. 代理人，代表
adj. 副的；代理的"
concise,adj. 简明的，简洁的
momentum,n. 势头； 动量；动力；冲力
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
approval,n. 批准；认可；赞成
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
faculty,n. 科，系；能力；全体教员
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
deficiency,n. 缺陷，缺点；缺乏；不足的数额
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
confer,"vt. 授予；给予
vi. 协商"
destiny,n. 命运，定数，天命
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
removal,n. 免职；移动；排除；搬迁
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
likewise,adv. 同样地；也
attorney,n. 律师；代理人；检查官
repetition,n. 重复；背诵；副本
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
repression,n. 抑制， 压抑；镇压
inherent,adj. 固有的；内在的；与生俱来的，遗传的
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
retort,"n. 反驳，顶嘴；曲颈瓶
vi. 反驳，回嘴
vt. 反驳，反击"
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
convince,vt. 说服；使确信，使信服
controversy,n. 争论；论战；辩论
romance,"n. 传奇；浪漫史；风流韵事；冒险故事
vi. 虚构；渲染；写传奇"
establish,"vi. 植物定植
vt. 建立；创办；安置"
emerge,vi. 浮现；摆脱；暴露
infect,vt. 感染，传染
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
illusion,n. 幻觉，错觉；错误的观念或信仰
gasp,"n. 喘气
vi. 喘气；喘息；渴望
vt. 气喘吁吁地说；喘着气说话"
acquire,vt. 获得；取得；学到；捕获
rural,adj. 农村的，乡下的；田园的，有乡村风味的
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
faithful,adj. 忠实的，忠诚的；如实的；准确可靠的
reluctant,adj. 不情愿的；勉强的；顽抗的
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
slender,adj. 细长的；苗条的；微薄的
operational,adj. 操作的；运作的
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
district,n. 区域；地方；行政区
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
sociable,"n. 联谊会
adj. 社交的；好交际的；友善的"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
versatile,adj. 多才多艺的；通用的，万能的；多面手的
republican,"n. 共和党人
adj. 共和党的
共和的"
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
ego,n. 自我；自负；自我意识
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
conscious,adj. 意识到的；故意的；神志清醒的
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
fruitful,adj. 富有成效的；多产的；果实结得多的
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
profession,n. 职业，专业；声明，宣布，表白
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
criticism,n. 批评；考证；苛求
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
presence,n. 存在；出席；参加；风度；仪态
opportunity,n. 时机，机会
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
gaze,"n. 凝视；注视
vi. 凝视；注视"
equality,n. 平等；相等； 等式
harassment,n. 骚扰；烦恼
intuition,n. 直觉；直觉力；直觉的知识
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
generalize,"vi. 形成概念
vt. 概括；推广；使...一般化"
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
surgery,n. 外科；外科手术；手术室；诊疗室
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
reputation,n. 名声，名誉；声望
immerse,vt. 沉浸；使陷入
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
intricate,adj. 复杂的；错综的，缠结的
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
literacy,n. 读写能力；精通文学
selection,n. 选择，挑选；选集；精选品
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
frank,"n. 免费邮寄特权
adj. 坦白的，直率的；老实的
vt. 免费邮寄"
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
consist,vi. 由…组成；在于；符合
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
astonish,vt. 使惊讶
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
haste,"n. 匆忙；急忙；轻率
vt. 赶快
vi. 匆忙；赶紧"
thesis,n. 论文；论点
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
attribute,"n. 属性；特质
vt. 归属；把…归于"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
investigate,v. 调查；研究
tolerant,adj. 宽容的；容忍的；有耐药力的
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
vigorous,adj. 有力的；精力充沛的
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
stab,"n. 刺；戳；尝试；突发的一阵
vt. 刺；刺伤；戳；刺穿；直入
vi. 刺；刺伤；戳；刺痛"
resemble,vt. 类似，像
mode,n. 模式；方式；风格；时尚
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
condemn,vt. 谴责；判刑，定罪；声讨
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
element,n. 元素；要素；原理；成分；自然环境
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
confront,vt. 面对；遭遇；比较
mould,"vi. 发霉
vt. 浇铸；用泥土覆盖
n. 模具；霉"
monarch,n. 君主，帝王；最高统治者
norm,n. 标准，规范
obesity,n. 肥大，肥胖
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
marital,adj. 婚姻的；夫妇间的
instruct,vt. 指导；通知；命令；教授
available,adj. 可获得的；可购得的；可找到的；有空的
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
exotic,adj. 异国的；外来的；异国情调的
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
mutual,adj. 共同的；相互的，彼此的
nap,"n. 小睡，打盹儿；细毛；孤注一掷
vt. 使拉毛
vi. 小睡；疏忽"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
diligent,adj. 勤勉的；用功的，费尽心血的
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
persecute,vt. 迫害；困扰；同…捣乱
surpass,vt. 超越；胜过，优于；非…所能办到或理解
expend,vt. 花费；消耗；用光；耗尽
mislead,vt. 误导；带错
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
personality,n. 个性；品格；名人
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
heroic,"n. 史诗；英勇行为
adj. 英雄的；英勇的；记叙英雄及其事迹的；夸张的"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
response,n. 响应；反应；回答
normalization,n. 正常化；标准化；正规化；常态化
